sample_id,stem_id,species,water mas,CPg,wc,NF,NSlf,SL,STm,Pbr,Sbr,P:S,SD.PL,SD.SL,SD.P:S,Pendent 1,Pendent 2,Pendent 3,Pendent 4,Pendent 5,Pendent 6,Pendent 7,Pendent 8,Pendent 9,Pendent 10,Spreading 1,Spreading 2,Spreading 3,Spreading 4,Spreading 5,Spreading 6,Spreading 7,Spreading 8,Spreading 9,Spreading 10,P:S1,P:S2,P:S3,P:S4,P:S5,P:S6,P:S7,P:S8,P:S9,P:S10
s5.05.07.cu.5,s5.05.07.cu.5.3,S.cuspidatum,0.3061,0.0165,18.5515,83,320,7.76,0.0343,0.6171,0.8247,0.752186437,0.151447318,0.164035393,0.122357633,0.533,0.695,0.835,0.545,0.425,0.512,0.502,0.655,0.926,0.543,0.815,0.777,1.11,0.787,0.798,0.651,0.798,0.832,1.115,0.564,0.65398773,0.894465894,0.752252252,0.692503177,0.532581454,0.786482335,0.629072682,0.787259615,0.830493274,0.962765957
s5.05.07.cu.5,s5.05.07.cu.5.4,S.cuspidatum,0.5195,0.0281,18.4875,60,195,4.28,0.0323,0.7649,0.7873,0.978062936,0.102868314,0.058918673,0.154590762,0.651,0.894,0.713,0.635,0.906,0.615,0.811,0.874,0.775,0.775,0.735,0.821,0.766,0.805,0.815,0.865,0.682,0.755,0.745,0.884,0.885714286,1.088915956,0.930809399,0.788819876,1.111656442,0.710982659,1.18914956,1.157615894,1.040268456,0.876696833
s5.05.07.cu.5,s5.05.07.cu.5.5,S.cuspidatum,0.5499,0.0283,19.4311,64,232,4.2,0.0393,0.8541,0.8557,1.015340964,0.160674485,0.126282263,0.222112318,0.937,0.865,0.798,0.617,1.023,0.596,0.777,1.141,0.842,0.945,0.845,0.855,0.926,0.651,0.832,0.985,0.714,0.776,0.855,1.118,1.10887574,1.011695906,0.861771058,0.947772657,1.229567308,0.605076142,1.088235294,1.470360825,0.984795322,0.845259392
s6.03.08.li.1,s6.03.08.li.1.1,S.lindbergii,0.2048,0.0117,17.5043,31,130,4.51,0.0178,0.688,0.8566,0.815505933,0.116888836,0.174924098,0.090515219,0.49,0.842,0.585,0.627,0.832,0.627,0.735,0.725,0.832,0.585,0.501,1.107,0.936,0.798,1.023,0.715,0.825,0.971,0.995,0.695,0.978043912,0.760614273,0.625,0.785714286,0.813294233,0.876923077,0.890909091,0.746652935,0.836180905,0.841726619
s6.03.08.li.1,s6.03.08.li.1.2,S.lindbergii,0.2497,0.014,17.8357,45,181,5.4,0.0284,0.6477,0.8509,0.779748398,0.088511073,0.153264771,0.148976009,0.645,0.456,0.535,0.695,0.695,0.766,0.693,0.627,0.63,0.735,1.173,0.811,0.625,0.811,0.832,0.735,1.085,0.767,0.855,0.815,0.549872123,0.562268804,0.856,0.856966708,0.835336538,1.042176871,0.638709677,0.817470665,0.736842105,0.901840491
s6.03.08.li.1,s6.03.08.li.1.3,S.lindbergii,0.2257,0.0142,15.8944,25,102,3.93,0.0157,0.7621,0.9686,0.794355035,0.10556273,0.122000164,0.114797592,0.606,0.64,0.735,0.695,0.935,0.735,0.947,0.745,0.785,0.798,0.703,0.875,0.937,1.152,0.925,0.95,1.015,1.085,1.097,0.947,0.862019915,0.731428571,0.784418356,0.603298611,1.010810811,0.773684211,0.933004926,0.686635945,0.715587967,0.842661035
s6.03.08.li.1,s6.03.08.li.1.4,S.lindbergii,0.4306,0.0227,18.9692,57,229,6.09,0.0463,0.876,0.973,0.919294636,0.104280391,0.159944365,0.158442764,0.875,0.815,0.695,0.865,0.992,0.916,0.947,0.755,1.065,0.835,0.855,1.205,0.835,1.215,1.044,0.835,0.776,0.905,1.165,0.895,1.023391813,0.676348548,0.832335329,0.711934156,0.950191571,1.097005988,1.220360825,0.834254144,0.91416309,0.932960894
s6.03.08.li.1,s6.03.08.li.1.5,S.lindbergii,0.1533,0.0088,17.4205,37,141,4.74,0.0193,0.7399,0.7771,0.96986363,0.155671096,0.157990158,0.19737709,0.874,0.512,0.756,0.985,0.596,0.811,0.95,0.585,0.606,0.724,1.034,0.575,0.606,0.95,0.724,0.853,0.695,0.565,0.874,0.895,0.845261122,0.890434783,1.247524752,1.036842105,0.82320442,0.950762016,1.366906475,1.03539823,0.693363844,0.808938547
s6.03.08.li.2,s6.03.08.li.2.1,S.lindbergii,0.304,0.0191,15.9162,67,213,2.43,0.0386,0.546,0.6971,0.785851961,0.105819658,0.119982874,0.093924956,0.704,0.436,0.425,0.713,0.525,0.435,0.595,0.436,0.585,0.606,0.885,0.574,0.745,0.895,0.617,0.585,0.798,0.565,0.625,0.682,0.795480226,0.759581882,0.570469799,0.796648045,0.85089141,0.743589744,0.745614035,0.771681416,0.936,0.88856305
s6.03.08.li.2,s6.03.08.li.2.2,S.lindbergii,0.3849,0.0213,18.0704,91,269,2.55,0.0583,0.6902,0.803,0.871558109,0.084198337,0.148276768,0.094213537,0.746,0.776,0.635,0.682,0.703,0.725,0.825,0.543,0.703,0.564,0.776,0.832,0.895,0.715,0.842,0.735,1.173,0.606,0.795,0.661,0.961340206,0.932692308,0.709497207,0.953846154,0.834916865,0.986394558,0.703324808,0.896039604,0.88427673,0.853252648
